questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál de las siguientes patologías causa hiperactividad neurogénica del detrusor?,Lesión medular,Tumor vesical,Litiasis vesical,Envejecimiento,A
"Varón de 16 años. TE 2 horas, acude a EMG por dolor intenso y brusco en testículo izquierdo, náusea, leve dolor en fosa 
iliaca izquierda. Examen: testículo elevado, horizontalizado, con gran hipersensibilidad y ausencia de reflejo cremastérico. 
¿Cuál es su sospecha diagnóstica?",Epididimitis aguda,Hidrocele,Torsión testicular,Infección urinaria,C
"¿Cuál es una contraindicación absoluta, para realizar una biopsia de próstata?",Portador de sonda Foley,Edad avanzada,Estrechez uretral,Prostatitis aguda,D
¿Cuál es el medicamento estándar para el tratamiento del cáncer de próstata metastásico resistente a la castración?,Goserelina,Docetaxel,Bicalutamida,Cabazitaxel,B
"En el adenocarcinoma de próstata, el sistema de Gleason se basa en evaluar...",la célula muscular lisa.,el patrón glandular del tumor.,células de la cápsula prostática.,células de la matriz celular.,B
¿Qué medicamento es el de elección en la profilaxis antibiótica de la biopsia prostática transrectal?,Metronidazol,Cefalosporina,Aminoglucósido,Fluoroquinolona,D
"Varón de 50 años con dolor lumbar derecho. UROTEM con contraste: hidronefrosis y cálculo en uréter proximal derecho. 
Riñón izquierdo: masa de 1.5 cm en tercio medio que tras administración de contraste presenta realce de más de 15 UH. 
¿Cuál es el diagnóstico más probable del riñón izquierdo?",Angiomiolipoma renal,Seudotumor renal,Absceso perinéfrico,Cáncer renal,D
¿Cuál es el examen auxiliar para el diagnóstico de absceso renal?,Radiorrenograma,Urografía excretoria,Cistografía,Urotem,D
¿Cuál de los siguientes factores se asocia con el desarrollo de necrosis papilar renal?,Nefrostomía,Diabetes mellitus,Ureteroscopía,Cistitis intersticial,B
La estructura de la próstata es ......% elementos glandulares y un ......% de estroma fibromuscular.,70 / 30,30 / 70,50 / 50,Oct-90,A
"En tumor de testículo. ¿Por qué es importante medir los marcadores tumorales, alfafetoproteina y gonadotropina coriónica 
humana, antes y después de la orquiectomía radical?",Define vía de abordaje,Evalúa grado de sensibilidad del tumor,Dosis de tratamiento,Define pronóstico,D
¿En qué situación está indicado realizar una biopsia de próstata?,PSA libre >25%,Nódulo prostático al TR,Velocidad PSA <0.75ng/ml por año,Hematuria recurrente,B
¿Qué subtipos de receptores muscarínicos se encuentran en la vejiga humana?,"M1, M4 y M5","M1, M3 y M5","M1, M2 y M3","M3, M4 y M5",C
"Se denomina hiperactividad vesical, cuando la contracción del detrusor supera......cm H2O, con volumen vesical menos 
de 300 ml.",5,25,35,15,D
"Mujer 29 años. TE 3 días. Acude por pérdida de orina en gran cantidad durante el día. Antecedente: cesárea por bebe 
macrosómico hace 7 días. Área genital con eritema de labios, evidencia de pérdida de orina al esfuerzo. ¿Qué examen 
auxiliar solicitaría para confirmar fístula vesicovaginal?",Cistoscopia,Cistografía,Urotem,Resonancia magnética,B
"Paciente de 28 años, con TE 3 horas, acude por amplio hematoma y dolor de pene post relaciones sexuales. Diagnóstico: 
fractura de pene. Tratamiento inmediato: exploración y reparación de albugínea por una lesión de 1 cm. ¿Cuál es el riesgo 
de incurvación a largo plazo?",Moderado,Alto,Bajo,Nulo,C
¿Cuál de los siguientes síntomas se asocia con deficiencia de testosterona?,Anorgasmia,Pérdida de la líbido,Eyaculación precoz,Hematospermia,B
"¿Cuál de las siguientes técnicas quirúrgicas sería la más adecuada para una paciente con estenosis de la unión 
pieloureteral y con una estenosis larga de todo el uréter proximal?",Reparación en Y-V,Pieloplastía desmembrada,Ureterocaliciostomía,Ureterotomía intubada,D
"Mujer de 25 años, peatón en accidente de tránsito, presenta inestabilidad hemodinámica con hipotensión marcada. 
UROTEM con contraste: gran hematoma perirrenal izquierdo con >1 cm de laceración de la corteza renal, no 
extravasación de orina. ¿Cuál es la conducta terapéutica más adecuada?",Exploración quirúrgica renal,Control horario de funciones vitales,Observación de hematuria,Embolización de arteria renal,A
"¿Cuál de los siguientes antineoplásicos de aplicación intravesical es más eficaz en el periodo perioperatorio para reducir 
recidiva en cáncer de vejiga de bajo riesgo?",Interferón,BCG,Doxorrubicina,Mitomicina C,D
¿Cuál es la cara del riñón que no está cubierta por la fascia de Gerota?,Inferior,Superior,Medial,Lateral,A
"Mujer de 34 años. TE 2 años, refiere dolor lumbar izquierdo. UROTEM: litiasis de 3 cm en pelvis renal izquierda. Urocultivo 
negativo. Tratamiento: nefrolitotomía percutánea izquierda. ¿Cuál es el antibiótico profiláctico de elección?",Quinolona,Cefalosporina,Ampicilina,Vancomicina,B
"Varón de 8 años, desde hace 3 días presenta fiebre, nausea y disuria. Examen de orina: leucocitos 50 xc, hematíes 5 xc. 
Ecografía renal normal. Se indica tratamiento médico. En el control post tratamiento. ¿Qué examen auxiliar debe solicitar?",Tomografía,Cistografía,Gammagrafía Tc DMSA,Resonancia,B
"Varón de 64 años, acude por síntomas obstructivos de la vía urinaria. PSA 2 ng/ml. Ecografía de próstata 73 g, residuo 
post miccional 45%. ¿En qué patología solicita UROTEM, para estudio de las vías urinarias superiores?",Parkinson,Incontinencia urinaria,Divertículo vesical,Hematuria,D
"Varón de 2 años, presenta lesión en pene desde hace tres meses. Examen genital: se observa una ampolla próxima al 
orificio uretral de 3 mm. ¿Cuál es el diagnóstico más probable?",Quiste de inclusión,Quiste uretral parameatal,Quiste del rafe mediano,Nevus peneano congénito,B
"Paciente trasplantado renal con disfunción temprana del injerto, afebril, PA y PVC disminuidas. ¿Cuál es la causa más 
probable de la disfunción del injerto?",Infección,Deshidratación,Rechazo,Obstrucción,B
"Según la epidemiología del cáncer de vejiga. ¿Cuál de las siguientes profesiones tiene mayor riesgo relativo de desarrollar 
cáncer urotelial?",Empaquetadores manuales,Trabajadores del cuero,Carniceros,Profesional de salud,B
"Durante el acceso percutáneo inicial a la vía urinaria superior, si se aspira pus. ¿Cuál es la conducta más segura a seguir?",Suspender el procedimiento y dejar tubo de nefrostomía,Continuar y hacer ureteroscopía,Colocar catéter doble J,Ampliar cobertura antibiótica en el acto Qx y continuar,A
La ...... se caracteriza por la acumulación de macrófagos espumosos cargados de lípidos.,pielonefritis aguda,equinococosis renal,pielonefritis xantogranulomatosa,pielonefritis enfisematosa,C
En estudio urodinámico. ¿A qué se le denomina presión de punto de pérdida del detrusor (PPD)?,La presión máxima de una contracción involuntaria,La mínima presión del detrusor al inicio de la micción,La mínima presión del detrusor asociada con pérdida de orina,La presión promedio en la que producen los deseos miccionales,C
¿Cuál es el método de estudio más preciso para estimar el volumen del cálculo coraliforme?,UROTEM más reconstrucción tridimensional,Densitometría,Resonancia magnética,Urografía excretora,A
"Varón de 40 años, con DM2 insulinodependiente, con cálculo renal izquierdo de 1 cm diagnosticado por Rx simple de 
abdomen. ¿Cuál es la composición más probable del cálculo?",Fosfato inorgánico,Ácido úrico,Oxalato de calcio,Amonio fosfato,C
"¿Cuál es la frecuencia de las cistoscopias de seguimiento a realizar posterior a la resección inicial de un cáncer de vejiga 
TaG1 solitario?",Cada 3 meses por 1 año y luego semestralmente,3 meses después de la resección inicial y luego anualmente,6 meses después de resección inicial y luego semestralmente,Cada 3 meses por los siguientes 2 años,B
¿Cuál es un antiandrógeno no esteroideo?,Bicalutamida,Dutasteride,Triptorelina,Leuprolide,A
Un riñón displásico secundario a desarrollo renal aberrante corresponde a...,poliquistosis renal autosómica dominante.,poliquistosis renal autosómica recesiva.,esclerosis tuberosa.,riñón multiquístico.,D
"Varón de 45 años, presenta fiebre persistente y dolor lumbar de 5 días de evolución. Diagnóstico: absceso perinéfrico, en 
tratamiento con Ertapenen. ¿Cuál es la conducta a seguir?",Drenaje quirúrgico,Conducta expectante,Vancomicina,Colocación de sonda Foley,A
"¿Qué microorganismo es parte de la flora normal del introito vaginal, área periuretral y uretra?",Escherichia coli,Lactobacilos,Candida sp,Morganella,B
¿Cuál de las siguientes condiciones se considera de alto riesgo en pacientes con hematuria microscópica?,Edad <40 años,Abuso de analgésicos,Incontinencia urinaria,Poca ingesta de agua,B
La hidroureteronefrosis del embarazo...,inicia en el tercer trimestre.,llega hasta la unión uréterovesical.,tarda seis meses en remitir.,es más intensa en el lado derecho.,D
¿Cuál es la causa más probable que contribuye a la formación de cálculos prostáticos?,Poca ingesta de líquidos,Antecedente familiar,Cáncer de próstata,Reflujo intraprostático de orina,D
¿Cuál de las siguientes condiciones excluye el diagnóstico de cistitis intersticial?,Nicturia más de 2 veces,Refractaria a analgésicos urinarios,Duración >9 meses,Capacidad vesical >350 ml,D
¿Qué hormona estimula la síntesis de testosterona producida por las células de Leydig?,FSH,TSH,ACTH,LH,D
¿Cuál de los siguientes tumores corresponde a la clasificación de tumor testicular de células germinales?,Tumor carcinoide,Linfoma,Teratoma,Tumor de células de Leydig,C
"Varón de 32 años. UROTEM con contraste: dilatación de pelvis renal derecha y del uréter en su tercio proximal, y con un 
recorrido por detrás, medial y anterior, y finalmente lateral a la vena cava inferior. ¿Cuál es el diagnóstico más probable?",Uréter circuncavo,Reflujo vesicoureteral,Aneurisma de aorta,Cálculo del uréter,A
"Varón de 35 años, es llevado a EMG por accidente de tránsito, refiere dificultad para la micción. Examen genital: 
uretrorragia. Rx de pelvis: fractura de rama isquiopúbica derecha. ¿Qué examen confirma rotura de la uretra?",Ecografía vesical,Resonancia magnética,Cistoscopía,Uretrografía retrógrada,D
La fractura de pene es la rotura de...,la túnica vaginal.,la túnica albugínea.,la fascia de Buck.,el cuerpo esponjoso.,B
"Mujer de 50 años con dolor lumbar derecho, antecedente de ITU recurrente, tiene UROTEM con cálculo coraliforme. 
¿Cuál es el germen causante más probable de las ITU?",Pseudomonas aeruginosa,Klebsiella pneumoniae,Streptococcus pyogenes,Proteus mirabilis,D
"Lactante de 11 meses, evaluado por náusea e irritabilidad. Urocultivo positivo. Antecedentes: infecciones urinarias 
recurrentes. Reflujo vesicoureteral izquierdo. Ecografía renal: hidronefrosis bilateral a predominio izquierdo. ¿Qué estudio 
solicita para evaluar corteza renal y descartar nefroesclerosis?",Urotem,Urografía excretora,Gammagrafía Tc - DMSA,Uretrocistografía,C
"Las lesiones vesicales extraperitoneales, por lo general se asocian con...",cirugías de colon.,fractura pélvica.,contusión directa.,caída en horcajada.,B
¿Cuál es el principal reservorio de las bacterias responsables de causar infección urinaria?,Prepucio,Vagina,Flora intestinal,Clítoris,C
"¿Cuál de las siguientes, es una proteína urinaria que actúa como potente inhibidor de la agregación de los cristales de 
monohidrato de oxalato de calcio?",Proteína de Tamm-Horsfall,Proteincinasa,De Von Lippel-Lindau,Polianiones,A
¿Cuántos días demora el transporte de los espermatozoides por el epidídimo?,2 a 12,8 a 17,20 a 30,4 a 18,A
¿Cuál de las siguientes características radiográficas se presenta en la clasificación de quiste renal Bosniak tipo II F?,Múltiples tabiques delgados,Ausencia de calcificación,Pocos tabiques delgados,Paredes o tabiques engrosados,A
¿Qué patología causa disminución de la distensibilidad vesical no neurogénica?,Mielodisplasia,Lesión de médula espinal suprasacra,Cistitis tuberculosa,Histerectomía radical,C
"¿Cuál es el tiempo de vida media en horas, de la gonadotropina coriónica humana hCG?",15-Oct,10-May,48 - 56,24 - 36,D
¿En cuál de los siguientes casos se debe dar tratamiento antibiótico en una bacteriuria asintomática?,Gestante,Diabético,Portador de sonda,Edad avanzada,A
En traumatismo renal. ¿Cuál es indicación absoluta de exploración renal?,Hematoma renal pulsátil,Extravasación de orina,Líquido libre en peritoneo,Lesión renal asociada a lesión colónica,A
Una parte de la inervación vesical está dada por los nervios...,simpáticos sacros.,parasimpáticos lumbares.,parasimpáticos sacros.,simpáticos dorsolaterales.,C
¿Cuál es el tumor benigno no epitelial más común en la vejiga?,Leiomioma,Papiloma,Leucoplasia,Quiste glandular,A
"Varón de 34 años, refiere dolor en pene con erección que no remite desde hace 6 horas. ¿Cuál es el tipo de priapismo 
que presenta?",No isquémico arterial de alto flujo,No isquémico venooclusivo de alto flujo,Isquémico venooclusivo de bajo flujo,Isquémico arterial de bajo flujo,C
"Mujer de 69 años. TE 18 días. Acude por pérdida de orina constante, usa 10 paños/día; refiere micción normal. 
Antecedente: histerectomía hace 3 semanas. Cistoscopia sin alteraciones. Cistografía normal. ¿Qué tipo fístula 
sospecharía?",Ureterovaginal,Vesicovaginal,Uretrovaginal,Vesicoentérica,A
¿Cuál es el objetivo de cuestionario IPSS?,Define el tratamiento de HBP,Cuantifica gravedad de síntomas del tracto urinario inferior,Establece diagnóstico de HBP,Define biopsia de próstata,B
"Mujer de 35 años presenta dolor pélvico, síntomas urinarios irritativos de 3 días de evolución. Examen de orina: leucocitos 
25 xc. ¿Cuál de los siguientes factores condiciona a infección urinaria complicada?",Embarazo,Cataratas,Hematuria,Hipertensión arterial,A
¿Cuál de los siguientes factores justifica la biopsia de próstata?,PSA 7 ng/ml,>75 años,Hematuria,Velocidad de ascenso del PSA >0.75 ng/ml x año,D
¿Cuál es la causa más frecuente de micropene?,Síndrome de Down,Feocromocitoma,Afalia,Hipogonadismo hipogonadotrópico,D
¿Cuál es una complicación en ablación androgénica por cáncer de próstata?,Aumento de masa muscular,Incremento de % de grasa corporal,Hematuria,Osteoporosis,D
"Varón de 37 años, PO3 de nefrolitotrisia percutánea izquierda, quien recientemente presenta sangrado moderado a través 
del tubo de nefrostomía. ¿Cuál es el diagnóstico más probable?",Perforación de pelvis renal,Discrasia sanguínea,Infección urinaria,Seudoaneurisma arterial,D
¿Cuál de las siguientes entidades es diagnóstico diferencial de pielonefritis xantogranulomatosa?,Hidronefrosis,Absceso renal,Tumor renal,Pielonefrítis aguda,C
"Según McNeal, la hiperplasia benigna de próstata se desarrolla inicialmente a nivel de la zona ...... de la próstata.",de transición periuretral,central,periférica,cápsula prostática,A
"Varón de 72 años, portador de sonda Foley por retención urinaria aguda hace 7 días, recibe tamsulosina. Examen de 
orina con leucocitos 25 xc. Acude a consulta para retiro de sonda Foley. ¿Qué examen debe solicitar antes del retiro de 
la sonda?",Ecografía de vías urinarias,Antígeno prostático específico,Urocultivo,Creatinina,C
El drenaje linfático del testículo izquierdo es a los ganglios linfáticos...,paraaórticos y preaórticos izquierdos.,precavos y paracavos.,paraaórticos y paracavos.,intercavoaórtico y paracavos.,A
¿Cuál es una indicación absoluta para cirugía prostática?,Microhematuria,ITU recurrente,Residuo post miccional >30%,Flujometría >15 ml/s,B
¿Cuál es el bloqueante alfa adrenérgico con mayor selectividad para los receptores adrenérgicos alfa1A?,Tamsulosina,Silodosina,Mirabegron,Solifenacina,B
"Paciente varón 43 años, refiere erección prolongada desde hace 7 horas, sin dolor. Antecedente: accidente laboral en 
área genital. Examen genital: evidencia erección sin mucha rigidez, hematoma perineal de 5 cm. ¿Cuál es su 
posibilidad diagnóstica?",Priapismo isquémico,Priapismo intermitente,Priapismo no isquémico,Traumatismo vesical,C
"La trabeculación de la vejiga observada en la cistoscopia, se debe a...",una hiperplasia del músculo liso.,una disminución de la fibronectina del detrusor.,un aumento de la fibrosis muscular.,un aumento del colágeno del detrusor.,D
"Varón de 32 años, refiere hematuria franca de hace una hora. Hemodinamicamente estable, politraumatizado hace 
2 horas. UROTEM: lesión de parénquima renal de 2 cm, no rotura del sistema colector, no extravasación de orina. ¿Cuál 
es el grado de traumatismo renal?",II,IV,III,I,C
"Varón de 46 años. TE 1 año, acude por aumento de volumen de hemiescroto derecho, niega dolor. Ecografía: tumor de 
testículo derecho de 7 cm. Alfa fetoproteina normal, gonadotropina coriónica humana negativo. ¿En qué tipo de tumor 
sospecha?",Carcinoma embrionario,Seminoma,Quiste dermoide,Linfoma,B
"Paciente varón de 33 años. TE 1 día, acude por hematuria franca. Antecedente: nefrolitotripsia percutánea hace 7 días, 
por cálculo coraliforme derecho. ¿En qué complicación sospecha?",Cálculo residual,Fístula arteriovenosa,Infección urinaria,Lesión de vena renal,B
"Mujer de 37 años con dolor lumbar derecho irradiado a fosa iliaca ipsilateral de moderada intensidad que ha cedido con 
AINES orales, orina colúrica, afebril. UROTEM: cálculo de 4 mm en tercio distal de uréter derecho que condiciona leve 
hidroureteronefrosis. ¿Cuál es la conducta terapéutica más adecuada?",Pre quirúrgicos para litotricia,AINES orales + tamsulosina,Antiespasmódicos IM + doxazosina,AINES orales + antiespasmódico IM,B
¿Cuál es la complicación más frecuente de la uretroplastía por hipospadia?,Fístulas,Estenosis del orificio uretral,Dehiscencia,Divertículo uretral,A
"Mujer de 45 años. TE 2 años. Refiere dolor lumbar derecho. Antecedente de ITU 2 episodios en el último año. Ecografía 
renal: quiste complejo renal derecho de 4 cm. Urotem: quiste renal derecho 3.5 cm, Bosniak IV. ¿Cuál es la conducta a 
seguir?",No requiere exploración quirúrgica,Nefrectomía radical,Seguimiento y control en 6 meses,Solicitar resonancia magnética,B
"Varón de 26 años. TE 2 horas, acude a emergencia por dolor lumbar izquierdo que irradia a testículo ipsilateral y 
nauseas. Examen: pálido. Ecografía renal: hidronefrosis leve izquierda. ¿Qué analgésico de primera línea se indica?",Narcóticos,Corticoides,Antiespasmódico,AINES,D
"Mujer de 85 años, con infecciones urinarias recurrente hace 3 años. UROTEM normal, cistoscopía sin alteraciones; se 
indica profilaxis antibiótica. ¿Qué antibiótico escogería que no altere la flora intestinal?",Quinolonas,Cefalosporinas,Nitrofurantoína,Vancomicina,C
"Mujer de 47 años con estenosis leves múltiples en uréter izquierdo y estenosis severa del tercio medial al distal del uréter 
derecho, secundarios a litotripsias láser de ambos uréteres. No disfunción miccional ni enfermedad renal. ¿Cuál es 
la técnica quirúrgica más apropiada a realizar en el uréter derecho?",Ureteroneocistostomía,Colgajo de Boari,Ureteroureterostomía TT,Endoureterotomía láser,B
"Varón de 28 años, TE 3 semanas, acude por dolor en testículo, disuria, aumento del volumen del hemiescroto derecho. 
Antecedente contacto sexual de riesgo. Ecografía doppler muestra un incremento del tamaño del epidídimo y de su flujo 
sanguíneo.  Diagnóstico: epididimitis. ¿Cuál de las siguientes bacterias sería la causa más frecuente?",Clamidia,Klebsiella,Enterobacterias,Staphylococcus,A
"Varón de 28 años, asintomático. Antecedente: eliminó un cálculo de 5 mm hace 3 años.  Padre con litiasis urinaria. 
Examen de orina normal. Ecografía de vías urinarias sin alteraciones. ¿Cuál de las siguientes recomendaciones 
disminuye el riesgo de formación de cálculos urinarios?",Ingesta de 2 litros agua,Incrementar el consumo de sodio,Diuresis 2 litros de orina al día,Bebidas gasificadas,C
¿Cuál es una contraindicación absoluta para el tratamiento con BCG en el cáncer de vejiga?,Antecedente de TB,Tener prótesis de cadera,Hematuria macroscópica,Insuficiencia hepática,C
¿Qué estructura contiene el conducto inguinal?,Ligamento inguinal y el nervio ilioinguinal,Cordón espermático y el nervio ilioinguinal,Cordón espermático y el nervio obturador,Cordón espermático y el nervio genitofemoral,B
"Paciente varón de 25 años. TE 2 meses, acude por dolor perineal, polaquiuria, disuria, dolor durante la eyaculación. 
Ecografía: próstata de 38 g. Espermocultivo positivo. Se diagnostica prostatitis bacteriana. ¿Cuál es el agente etiológico?",Enterobacteria gramnegativa,Streptococcus,Klebsiella,Proteus,A
¿Qué subtipo de receptor Beta adrenérgico tiene mayor expresión en la vejiga?,3,1,2,4,A
"Mujer de 35 años, TE 3 años, acude por presentar disuria, tenesmo vesical y dolor pélvico recurrente. Antecedente de 
cefalea y palpitaciones. Exámenes auxiliares: trae 4 urocultivos negativos. Ecografía de vías urinarias normal. ¿Cuál es 
el diagnóstico probable?",Cistitis intersticial,Cistitis actínica,Litiasis vesical,Divertículo vesical,A
¿Cuál es el síntoma principal del tumor vesical?,Dolor suprapúbico,Tenesmo vesical,Disuria,Hematuria,D
"Mujer de 48 años. TE 4 años, acude por dolor lumbar derecho. Antecedente de ITU recurrentes. UROTEM: litiasis renal 
de 13 mm, 550 Unidades Hounsfield. ¿Cuál es el tratamiento de elección?",Nefrolitotricia percutánea,Nefrolitotomía,Ureteroscopía,Litotricia extracorpórea con ondas de choque,D
"Varón de 70 años, se le realizó resección endoscópica láser de tumor en uréter distal izquierdo. AP: carcinoma de células 
transicionales. Tumor invade capa muscular, no atraviesa la serosa. TEM toracoabdominal: 05 adenomegalias pélvicas 
izquierdas de 2 cm; no metástasis a distancia. ¿Qué TNM le corresponde?",T1 N3 Mx,T3 N2 M0,T2 N3 Mx,T2 N2 M0,D
¿Cuál es la bacteria aislada con mayor frecuencia en pielonefritis xantogranulomatosa?,Klebsiella,Mycoplasma,Proteus,Pseudomonas,C
"Para calcular la presión del detrusor (Pdet) en el estudio urodinámico, se utiliza la siguiente ecuación:",Pdet = Pabd - Pves,Pdet = Pves - Pabd,Pdet = Pabd - PPD,Pdet = Pves - PPD,B
¿Cuál es el principal componente del cálculo coraliforme?,Ácido úrico,Oxalato de calcio,Estruvita,Fosfato,C
"Varón de 28 años, con obesidad mórbida. UROTEM: cálculo en cáliz inferior de 3 cm que produce caliectasia. ¿Cuál es 
la mejor técnica quirúrgica para tratar el cálculo renal?",Litotricia endoscópica,Nefrolitotricia percutánea,Litotricia extracorpórea,Nefrolitotomía laparoscópica,B
"Varón de 34 años, trasplantado renal, tuvo una crisis de rechazo de injerto hace 4 meses, acude a consulta por disfunción 
eréctil. ¿Cuál es la conducta terapéutica más adecuada?",Prótesis peniana,Uso de sildenafilo,Añadir sirolimús,Uso de prostaglandina E3,B
¿Qué síntoma es característico en la cistitis?,Hematuria,Micción imperiosa,Cefalea,Fiebre,B